,aRarity,mRarity
2004,339.44,33.44
2006,189.46,1706.63
2013,191.5,94.64
2026,76.0,10.76
2027,705.62,42.01
2029,73.65,53.47
2031,89.59,33.85
2033,96.18,89.0
2034,161.19,532.78
2042,71.48,19.66
2049,116.8,37.57
2059,129.1,11.5
2060,81.6,15.22
2062,92.38,13.42
2069,268.4,15.11
2074,111.45,74.04
2076,107.81,31.94
2078,113.78,21.44
2093,200.39,70.46
2094,156.96,21.28
2095,1889.42,250.29
2096,84.17,16.71
2097,99.55,21.23
2098,267.85,146.52
2099,252.59,11.72
2108,62.62,8.02
2110,160.65,166.35
2139,77.52,38.04
2140,213.48,27.86
2141,372.9,31.42
2142,47.45,3.74
2143,180.51,187.0
2144,716.16,41.07
2145,59.37,3.62
2146,122.34,33.66
2148,115.73,95.24
2149,179.6,45.05
2155,164.49,20.19
2156,114.31,45.2
2159,159.39,143.41
2160,52.76,4.82
2161,148.76,36.76
2163,127.43,109.42
2165,75.5,53.67
2168,422.27,492.53
2170,109.97,11.05
2171,66.0,13.74
2172,97.38,52.77
2174,317.91,34.96
2176,148.57,15.16
2177,93.11,33.32
2178,119.84,137.16
2183,159.68,460.15
2205,266.39,513.26
2206,230.45,365.6
2212,232.84,195.36
2214,891.99,234.08
2215,63.39,19.87
2216,846.93,307.02
2217,204.24,79.86
2218,131.46,71.87
2219,319.96,8458.63
2220,169.91,68.21
2221,95.04,4.05
2226,315.16,143.01
2227,231.5,391.72
2228,216.03,19.65
2230,1267.35,784.85
2231,708.83,159.67
2234,144.35,441.19
2235,65.64,8.91
2236,133.01,162.49
2237,417.16,1236.25
2241,662.36,734.44
2242,163.78,587.35
2244,446.53,243.23
2245,63.58,6.15
2248,164.9,18.31
2250,116.08,34.4
2252,546.43,21.77
2260,87.71,44.91
2261,133.11,26.74
2262,203.19,118.97
2263,174.14,12.47
2265,193.68,72.04
2270,58.7,3.32
2271,141.07,78.31
2274,107.35,26.79
2275,151.06,30.9
2276,114.38,21.5
2277,356.42,1946.19
2280,154.29,139.92
2281,203.6,21.26
2288,66.47,14.45
2291,1502.09,9760.78
2293,175.86,46.99
2295,256.51,247.83
2296,115.91,37.25
2297,283.75,125.0
2298,71.13,19.66
2299,114.38,39.06
2300,112.7,63.26
2302,178.14,23.32
2303,120.14,15.65
2304,69.53,8.28
2305,139.99,126.66
2306,81.53,20.54
2307,89.8,49.65
2309,198.41,596.84
2311,154.1,148.08
2315,72.45,33.85
2316,151.49,144.84
2317,91.01,47.91
2318,107.44,57.65
2319,212.12,135.6
2321,124.81,52.09
2322,82.6,12.51
2326,236.41,299.18
2334,128.96,54.6
2336,132.68,83.61
2337,277.31,72.96
2339,119.16,62.03
2340,204.18,127.6
2341,151.37,138.87
2342,430.36,424.7
2343,151.13,106.51
2344,96.16,38.85
2346,175.61,25.82
2347,65.28,2.99
2366,190.24,167.83
2367,199.74,59.48
2369,486.37,431.88
2372,307.57,1195.26
2377,127.34,29.11
2378,143.79,52.36
2379,422.59,1603.75
2380,92.21,45.86
2381,497.82,43.66
2382,121.49,131.98
2383,105.73,48.93
2385,138.25,155.37
2386,563.4,1408.28
2389,118.8,72.38
2390,296.02,15933.93
2391,218.25,429.81
2392,205.45,30.89
2393,97.54,9.87
2394,90.77,32.67
2395,357.07,323.45
2397,207.64,82.32
2398,99.55,39.05
2400,177.67,54.83
2401,230.23,37.78
2411,79.03,13.13
2414,104.32,104.16
2415,81.21,16.7
2416,98.06,15.35
2417,123.04,26.6
2421,187.49,290.94
2422,149.39,29.51
2423,230.39,1611.06
2424,5321.55,152.92
2425,87.89,15.71
2426,193.4,652.13
2430,134.64,123.39
2431,278.94,510.35
2432,86.5,27.02
2433,94.33,43.13
2434,141.48,117.03
2435,188.58,22.28
2436,128.77,196.81
2445,123.37,81.91
2446,113.86,18.58
2447,202.54,98.15
2448,212.77,1379.77
2451,232.93,141.28
2458,69.72,8.74
2460,212.54,66.67
2461,113.9,11.02
2462,145.25,7.39
2463,141.72,88.33
2465,132.23,129.02
2466,117.37,19.24
2467,3739.18,1198.58
2468,128.27,17.52
2470,166.33,24.77
2474,220.63,384.46
2475,204.34,14.04
2476,602.36,475.9
2479,121.32,148.15
2482,153.55,150.99
2483,87.47,42.55
2486,95.97,13.24
2487,103.15,99.68
2489,138.17,28.32
2494,2149.05,11.42
2495,410.2,106.56
2500,61.9,5.03
2501,125.0,34.66
2508,113.13,19.12
2509,241.78,141.15
2510,82.52,12.99
2511,189.31,769.45
2512,111.24,5.41
2513,159.4,48.04
2514,363.34,328.45
2515,54.96,2.91
2529,368.37,8.9
