,aRarity,mRarity
25888,53.27,14.6
25889,79.27,14.67
25890,63.2,37.45
25891,274.07,41.13
25892,117.63,191.25
25893,185.44,91.0
25894,53.45,16.32
25895,105.23,70.89
25896,82.4,45.43
25897,57.5,20.71
25898,101.85,83.04
25899,72.26,32.73
25900,177.81,94.82
25901,78.93,62.2
25902,104.73,48.5
25903,166.46,69.47
25904,113.24,57.27
25905,86.69,53.28
25906,73.87,19.4
25907,64.32,26.96
25908,69.76,31.89
25909,70.05,38.68
25910,146.84,57.91
25911,228.44,135.56
25912,88.33,90.61
25913,99.0,29.35
25914,84.84,31.49
25915,100.77,35.52
25916,76.07,29.32
25917,123.4,48.34
25918,87.73,47.28
25919,57.43,29.4
25920,54.34,23.81
25921,73.8,48.64
25922,61.27,33.66
25923,73.97,46.25
25924,213.1,157.18
25925,104.61,53.37
25926,81.05,51.12
25927,114.95,48.9
25928,294.57,126.41
25929,90.54,61.53
25930,77.01,30.94
25931,107.34,86.98
25932,375.42,50.53
25933,91.06,44.4
25934,56.3,31.3
25935,52.78,26.09
25936,78.03,41.22
25937,67.82,30.81
25938,60.35,31.94
25939,75.54,28.15
25940,92.69,86.43
25941,118.48,51.34
25942,56.73,25.81
25943,372.19,80.09
25944,46.74,16.51
25945,112.92,71.8
25946,70.29,36.93
25947,71.47,45.32
25948,91.17,80.02
25949,111.06,99.82
25950,74.7,43.7
25951,111.41,43.72
25952,72.63,37.25
25953,71.2,32.32
25954,368.23,32.86
25955,110.42,63.35
25956,97.82,27.17
25957,84.64,35.53
25958,73.06,28.6
25959,63.45,28.82
25960,71.05,29.0
25961,67.79,29.91
25962,139.99,56.6
25963,84.87,25.97
25964,161.46,86.18
25965,127.44,86.73
25966,92.05,38.71
25967,60.25,17.36
25968,61.87,25.4
25969,118.92,57.46
25970,57.22,32.79
25971,54.05,17.89
25972,49.83,13.46
25973,93.79,64.89
25974,123.95,117.58
25975,429.04,155.28
25976,76.2,26.84
25977,74.28,49.08
25978,165.64,20.18
25979,65.37,25.99
25980,70.02,30.77
25981,53.93,13.19
25982,102.2,94.75
25983,52.41,13.46
25984,78.49,25.55
25985,89.3,75.29
25986,51.3,15.72
25987,99.76,74.41
25988,92.38,61.95
25989,93.62,23.98
25990,319.23,43.49
25991,69.89,8.9
25992,54.17,22.28
25993,60.97,24.66
25994,98.49,36.85
25995,98.29,48.7
25996,75.35,55.22
25997,57.99,27.65
25998,52.23,20.99
25999,70.99,37.9
26000,276.8,45.71
26001,71.99,17.29
26002,127.5,155.2
26003,82.29,53.96
26004,588.42,52.37
26005,93.09,62.8
26006,93.06,38.2
26007,62.65,38.08
26008,69.76,27.16
26009,70.01,30.91
26010,97.45,57.89
26011,135.17,28.16
26012,71.25,38.73
26013,130.86,30.43
26014,184.85,19.21
26015,63.35,27.69
26016,103.93,76.51
26017,67.74,32.21
26018,71.2,32.74
26019,331.45,701.65
26020,94.09,89.6
26021,116.83,70.3
26022,117.6,36.61
26023,58.74,25.87
26024,114.13,32.67
26025,178.69,99.31
26026,87.16,14.71
26027,124.03,73.73
26028,475.6,99.53
26029,67.61,24.34
26030,54.23,21.22
26031,192.93,31.19
26032,76.11,45.32
26033,80.94,40.21
26034,43.73,11.55
26035,103.63,24.16
26036,73.47,26.53
26037,136.31,36.77
26038,117.34,165.85
26039,82.54,74.38
26040,520.06,84.81
26041,99.49,99.37
26042,93.78,61.7
26043,94.51,39.81
26044,81.83,33.81
26045,110.9,53.65
26046,95.72,39.88
26047,116.32,44.15
26048,162.83,95.45
26049,429.45,166.59
26050,116.81,42.0
26051,117.42,36.28
26052,67.98,24.25
26053,112.38,51.25
26054,98.38,81.42
26055,50.96,20.29
26056,264.49,49.55
26057,61.5,25.04
26058,108.22,41.81
26059,111.03,66.28
26060,51.14,13.05
26061,81.33,54.4
26062,65.69,28.54
26063,349.83,39.93
26064,77.95,48.16
26065,100.66,26.72
26066,54.76,23.86
26067,56.66,25.41
26068,57.29,25.93
26069,69.73,33.0
26070,82.67,33.57
26071,82.53,54.65
26072,81.91,39.07
26073,68.43,36.74
26074,74.17,26.28
26075,596.12,80.88
26076,76.19,44.47
26077,73.78,38.49
26078,59.02,13.77
26079,133.89,80.7
26080,82.06,28.58
26081,162.63,24.29
26082,63.74,20.76
26083,59.34,14.65
26084,104.46,25.76
26085,133.98,77.48
26086,129.27,49.8
26087,87.39,54.4
26088,77.28,53.99
26089,52.02,12.36
26090,71.58,28.76
26091,135.79,45.38
26092,110.37,48.27
26093,70.84,38.02
26094,57.76,25.12
26095,73.2,44.93
26096,76.95,44.55
26097,56.94,18.97
26098,85.49,36.95
26099,81.99,64.0
26100,190.3,78.82
26101,406.33,35.07
26102,53.39,15.67
26103,73.3,32.82
26104,125.44,42.31
26105,441.77,420.82
26106,118.42,132.47
26107,89.12,48.47
26108,111.85,71.18
26109,76.81,59.36
26110,91.58,30.68
26111,94.44,29.25
26112,64.41,39.56
26113,92.14,58.91
26114,49.61,15.01
26115,66.88,26.79
26116,98.75,35.19
26117,130.52,61.63
26118,89.97,36.04
26119,60.49,17.98
26120,82.03,31.05
26121,70.08,42.71
